opponent,result,win,loss,margin,location,opponent rating
Presbyterian,1,2,8,1,AWAY,0.103662770671833
MS Valley St,1,1,10,15,AWAY,0
Monmouth NJ,0,8,3,28,AWAY,0.575986353644047
Northern Iowa,0,7,6,44,AWAY,0.600993259192556
Charleston So,0,5,6,34,HOME,0.353791416368976
