opponent,result,win,loss,margin,location,opponent rating
Hampton,1,7,3,34,AWAY,0.312418849296516
Presbyterian,1,2,8,34,HOME,0.103662770671833
Gardner Webb,1,3,8,16,HOME,0.231192577268533
Campbell,1,6,5,5,AWAY,0.412021086124821
Elon,0,6,5,9,HOME,0.593851598150718
Savannah St,0,2,8,20,AWAY,0.28856861968791
Kennesaw,0,11,2,28,HOME,0.7268407283624
Monmouth NJ,0,8,3,34,AWAY,0.575986353644047
Citadel,0,5,6,29,AWAY,0.496197791859472
