opponent,result,win,loss,margin,location,opponent rating
Detroit,1,2,6,31,AWAY,0.0706385548741347
Denver,1,2,6,18,HOME,0.15187497175268
Indianapolis,1,3,5,8,HOME,0.310678681373851
Miami,0,5,4,8,HOME,0.304859597300435
Cleveland,0,3,6,4,AWAY,0.447260252449432
Jacksonville,0,3,5,19,AWAY,0.305676919605216
Chicago,0,6,2,14,AWAY,0.674791072829068
Miami,0,5,4,7,AWAY,0.304859597300435
Buffalo,0,3,6,31,HOME,0.120780722311063
