rank,team,winpercentage,rating,averageMOV,averageMOL,conference,rawRank
1,UCF,1,1,31.75,0,AAC-EAST,1.85564461172206
2,ALABAMA,1,0.978076583500431,32.6666666666667,0,SEC West,1.77533511893751
3,PENN STATE,1,0.926210321180166,30.6666666666667,0,Big-10 East,1.58533949372532
4,OHIO STATE,0.833333333333333,0.886578156485495,39.2,15,Big-10 East,1.44015961033308
5,GEORGIA,1,0.878729633930492,25,0,SEC East,1.41140903383801
6,WISCONSIN,1,0.864157233470498,26,0,Big-10 West,1.35802766001348
7,WASHINGTON,1,0.862103196626677,32.8333333333333,0,PAC-12 North,1.35050334655459
8,TCU,1,0.860018698974588,24.8,0,Big-12,1.34286744964535
9,MIAMI-FLORIDA,1,0.833212306745754,19.75,0,ACC Coastal,1.24467072165322
10,NOTRE DAME,0.833333333333333,0.825229325809421,28,1,Independent,1.21542759934778
11,CLEMSON,0.857142857142857,0.818488092858873,23.6666666666667,3,ACC Atlantic,1.1907332274469
12,MICHIGAN,0.8,0.794996875298055,18,4,Big-10 East,1.10468059190522
13,USC,0.833333333333333,0.774846103235964,15.4,3,PAC-12 South,1.03086462051781
14,OKLAHOMA STATE,0.8,0.756534556417197,29.25,13,Big-12,0.96378606823176
15,NAVY,1,0.74585442745078,9.6,0,AAC-WEST,0.924662798372742
16,SAN DIEGO ST,1,0.740587684710731,12.5,0,Mountain West West,0.905369754379556
17,OKLAHOMA,0.8,0.737104030562198,28.5,7,Big-12,0.892608490758023
18,MICHIGAN STATE,0.8,0.729213838391861,12.5,20,Big-10 East,0.863705270617132
19,NC STATE,0.833333333333333,0.723105553547096,15.6,7,ACC Atlantic,0.841329503693599
20,AUBURN,0.833333333333333,0.717496148604933,29,8,SEC West,0.820781225321637
21,IOWA,0.666666666666667,0.691410448069057,17.5,4.5,Big-10 West,0.725224523096296
22,SO FLORIDA,1,0.679769619959531,24.8,0,AAC-EAST,0.682582036181588
23,WASHINGTON ST,0.857142857142857,0.675471557773389,21.1666666666667,34,PAC-12 North,0.666837446552857
24,HOUSTON,0.8,0.669232571962093,14.5,3,AAC-WEST,0.643982898045623
25,KENTUCKY,0.833333333333333,0.663782352665345,7.6,1,SEC East,0.624017745811625
26,MEMPHIS,0.8,0.659040888258358,15.75,27,AAC-WEST,0.606648892659925
27,VIRGINIA,0.8,0.65610885793962,16,17,ACC Coastal,0.595908328149448
28,GEORGIA TECH,0.75,0.648631708525201,23.6666666666667,1,ACC Coastal,0.568518159420378
29,OREGON,0.666666666666667,0.645398623091053,30,12.5,PAC-12 North,0.556674774857359
30,PURDUE,0.6,0.641770942113171,23,12.5,Big-10 West,0.543385914517508
31,TEXAS A&M,0.666666666666667,0.638008773648089,12,4.5,SEC West,0.529604401928705
32,MARYLAND,0.6,0.637613938188038,21,38,Big-10 East,0.528158047296658
33,STANFORD,0.666666666666667,0.637367008693316,23,10.5,PAC-12 North,0.52725349925175
34,MISS STATE,0.6,0.632376975499494,38.3333333333333,33.5,SEC West,0.508974092942013
35,TEXAS TECH,0.8,0.62541638945816,25.5,7,Big-12,0.48347619064242
36,VIRGINIA TECH,0.833333333333333,0.622810314775004,26.4,14,ACC Coastal,0.473929661415327
37,SMU,0.666666666666667,0.621215105401134,27.5,16.5,AAC-WEST,0.468086117034615
38,SO CAROLINA,0.666666666666667,0.609907471704923,13,8.5,SEC East,0.426664182316466
39,MARSHALL,0.8,0.605715640537902,13.5,17,Conference USA East,0.411308736452318
40,IOWA STATE,0.6,0.602794861568752,17.3333333333333,6.5,Big-12,0.400609387744549
41,FLORIDA,0.6,0.601397886059271,7,8.5,SEC East,0.395492010433177
42,INDIANA,0.5,0.593389400942084,26,29.5,Big-10 East,0.366155461604937
43,WAKE FOREST,0.666666666666667,0.592782690995414,26.25,10.5,ACC Atlantic,0.36393297186051
44,UTAH,0.8,0.592017515642598,17.75,3,PAC-12 South,0.361129994338299
45,MINNESOTA,0.6,0.591595617334047,25,10.5,Big-10 West,0.359584503433575
46,BOISE STATE,0.6,0.590677228973925,14,11,Mountain West Mountain,0.356220278538548
47,TOLEDO,0.8,0.590169431231306,13.75,22,MAC West,0.354360122379128
48,TEXAS,0.6,0.588076472580429,24,6.5,Big-12,0.346693231220431
49,LOUISVILLE,0.666666666666667,0.586543101902397,25.75,20,ACC Atlantic,0.341076213382195
50,DUKE,0.666666666666667,0.585567344883919,25.25,16,ACC Coastal,0.337501836577919
51,CALIFORNIA,0.571428571428571,0.583477154172782,15.75,20.6666666666667,PAC-12 North,0.32984508488326
52,COLORADO STATE,0.666666666666667,0.576149879114845,25.5,16,Mountain West Mountain,0.303003933363277
53,WESTERN MICH,0.666666666666667,0.566011169172913,24.75,16,MAC West,0.26586398056816
54,TULANE,0.6,0.559961212770933,22.3333333333333,22,AAC-WEST,0.243701881380722
55,FRESNO STATE,0.6,0.552174142448729,34.3333333333333,31.5,Mountain West West,0.215176415567322
56,VANDERBILT,0.5,0.547027660372821,23.6666666666667,34.6666666666667,SEC East,0.19632390839543
57,APPALACHIAN ST,0.6,0.542345445399663,22.6666666666667,11,Sun Belt,0.179172096811266
58,TX-SAN ANTONIO,0.75,0.542142067918926,23.6666666666667,2,Conference USA West,0.178427087859447
59,NEBRASKA,0.5,0.538221161239239,13,10.6666666666667,Big-10 West,0.164064087985439
60,GEORGIA STATE,0.6,0.53489661229437,20.3333333333333,31.5,Sun Belt,0.151885655837519
61,ARMY,0.666666666666667,0.533463293750189,28.25,17.5,Independent,0.146635147398349
62,LSU,0.666666666666667,0.531626368060977,18,16.5,SEC West,0.139906151893125
63,NORTHERN ILL,0.6,0.525734136465268,17.6666666666667,4.5,MAC West,0.118321827605727
64,FLA ATLANTIC,0.5,0.518857572747929,31,14.3333333333333,Conference USA East,0.0931317142717695
65,FLORIDA STATE,0.25,0.518142151365982,7,9,ACC Atlantic,0.0905109946342764
66,UCLA,0.6,0.517156993258067,12.6666666666667,13.5,PAC-12 South,0.0869021799103209
67,COLORADO,0.5,0.51269011267213,22.6666666666667,11.3333333333333,PAC-12 South,0.070539177633688
68,NORTH TEXAS,0.6,0.509504641173691,21,19.5,Conference USA West,0.0588702116535655
69,SYRACUSE,0.571428571428571,0.503839715124118,18.25,8,ACC Atlantic,0.0381185492515288
70,ARIZONA,0.6,0.501480480535925,29.3333333333333,4.5,PAC-12 South,0.0294762405562031
71,SOUTHERN MISS,0.6,0.499769326476839,19.3333333333333,11,Conference USA West,0.0232079695883094
72,NEW MEXICO,0.6,0.496930855522687,15,8,Mountain West Mountain,0.0128101302589108
73,OHIO U,0.666666666666667,0.490198178772233,21.5,13,MAC East,-0.01185289868918
74,WEST VIRGINIA,0.6,0.486701959837009,33.6666666666667,7,Big-12,-0.0246601894406552
75,TENNESSEE,0.6,0.483810761556663,13.3333333333333,23.5,SEC East,-0.0352511786948808
76,TROY,0.666666666666667,0.479155002439127,9.5,11,Sun Belt,-0.0523060776474525
77,KANSAS STATE,0.6,0.477201545059927,32.3333333333333,6.5,Big-12,-0.0594619500835635
78,LOUISIANA TECH,0.5,0.476547384454874,15.6666666666667,12.6666666666667,Conference USA West,-0.061858260232326
79,AKRON,0.5,0.464527472723186,29.3333333333333,28,MAC East,-0.105889400066347
80,BUFFALO,0.5,0.462985472084396,13.3333333333333,5.66666666666667,MAC East,-0.111538030976591
81,NORTHWESTERN,0.4,0.462500253378732,26.5,19,Big-10 West,-0.113315476103043
82,ULM,0.6,0.458817075530671,10.6666666666667,9.5,Sun Belt,-0.126807631598574
83,OLE MISS,0.4,0.457500496639585,21,31.6666666666667,SEC West,-0.131630501415813
84,WESTERN KY,0.6,0.446910795033074,9,7,Conference USA East,-0.170422519242701
85,WYOMING,0.6,0.442594257320615,23,28.5,Mountain West Mountain,-0.186234788124153
86,ARIZONA STATE,0.4,0.441551265903377,4,9,PAC-12 South,-0.1900554568442
87,UNLV,0.4,0.440013640655347,28,22.3333333333333,Mountain West West,-0.195688059911099
88,FIU,0.6,0.433142692031369,4.66666666666667,32,Conference USA East,-0.220857604017555
89,ARKANSAS,0.4,0.432579398042827,30,18,SEC West,-0.222921053267763
90,MIDDLE TENNESSEE,0.5,0.428466200976874,12.6666666666667,23.6666666666667,Conference USA East,-0.237988448017249
91,UTAH STATE,0.5,0.426952411231377,35,32.6666666666667,Mountain West Mountain,-0.243533737270991
92,CINCINNATI,0.333333333333333,0.424868115307178,8,19.25,AAC-EAST,-0.251168895241555
93,EASTERN MICH,0.4,0.413568091284729,10,5.33333333333333,MAC West,-0.292562954383373
94,BOSTON COLLEGE,0.333333333333333,0.410900725449189,11.5,23.25,ACC Atlantic,-0.302334004400342
95,PITTSBURGH,0.333333333333333,0.400656302744613,19.5,19.5,ACC Coastal,-0.33986120234482
96,TEMPLE,0.5,0.400640691875187,11.6666666666667,25.3333333333333,AAC-EAST,-0.339918387859787
97,UAB,0.6,0.39595305017811,13,11.5,Conference USA West,-0.357090078506672
