rank,team,winpercentage,rating,averageMOV,averageMOL,conference,rawRank
1,New England,0.8125,1,14.3846153846154,8.33333333333333,AFC East,0.456722471775464
2,Philadelphia,0.8125,0.978025595594296,14.5384615384615,9,NFC East,0.437228382752457
3,New Orleans,0.705882352941177,0.953266966338977,14.0833333333333,8.4,NFC South,0.415264332393718
4,Minnesota,0.8125,0.943923006695089,12.3846153846154,10.3333333333333,NFC North,0.40697505282878
5,Atlanta,0.647058823529412,0.856599456393982,8.54545454545455,7.16666666666667,NFC South,0.329507967228261
6,LA Rams,0.647058823529412,0.843622976779637,18.9090909090909,12,NFC West,0.317996180899925
7,Carolina,0.647058823529412,0.810569799717405,8.90909090909091,11.1666666666667,NFC South,0.288673812612278
8,Pittsburgh,0.8125,0.786881895868299,9.84615384615385,10,AFC North,0.267659631811895
9,Kansas City,0.588235294117647,0.753741973319363,11,5,AFC West,0.238260309322926
10,Jacksonville,0.647058823529412,0.703250746081094,19,8.83333333333333,AFC South,0.193468174694036
11,Dallas,0.5625,0.70113175672108,15,16.1428571428571,NFC East,0.191588361880368
12,LA Chargers,0.5625,0.692578545422719,14.6666666666667,7,AFC West,0.184000576546052
13,Seattle,0.5625,0.690772208212383,10.7777777777778,9,NFC West,0.182398125931008
14,Detroit,0.533333333333333,0.658232518474914,10.875,9.42857142857143,NFC North,0.153531286164014
15,Baltimore,0.5625,0.655586760021809,18.3333333333333,10.4285714285714,AFC North,0.15118416221513
16,Buffalo,0.529411764705882,0.572235759027292,8.22222222222222,17.25,AFC East,0.0772412326468238
17,Green Bay,0.466666666666667,0.560929043107673,7.85714285714286,13.25,NFC North,0.0672107388427336
18,Washington,0.4375,0.555790377839704,8.57142857142857,11.7777777777778,NFC East,0.0626520898005495
19,Arizona,0.5,0.550701685885814,6.75,15,NFC West,0.058137773415099
20,Tennessee,0.588235294117647,0.539284858356694,7.2,13.2857142857143,AFC South,0.0480095965991372
21,Tampa Bay,0.3125,0.498203803006737,9.2,8.45454545454546,NFC South,0.0115654801685042
22,San Francisco,0.375,0.488418278623202,9.16666666666667,10.7,NFC West,0.00288447661333141
23,Chicago,0.3125,0.452648666160856,13.2,11.0909090909091,NFC North,-0.0288477150450817
24,Miami,0.375,0.450380933416245,7.83333333333333,15.9,AFC East,-0.0308594821593693
25,Oakland,0.375,0.396918392544986,8.83333333333333,12.5,AFC West,-0.0782875495522224
26,NY Jets,0.3125,0.395168169395399,8,11.2727272727273,AFC East,-0.0798402199090269
27,Denver,0.3125,0.384770675791413,13.8,14.7272727272727,AFC West,-0.0890641179549096
28,Cincinnati,0.4375,0.329807286083642,8.42857142857143,13.1111111111111,AFC North,-0.137823629020773
29,NY Giants,0.1875,0.313015068004419,8,12.7692307692308,NFC East,-0.152720460258364
30,Houston,0.25,0.297800243606067,18.25,14.25,AFC South,-0.16621794290657
31,Indianapolis,0.25,0.260943096911436,5.25,13.5,AFC South,-0.198914915580723
32,Cleveland,0,0,0,11,AFC North,-0.430404601454815
