opponent,result,win,loss,margin,location,opponent rating
Washington,1,3,1,5,NEUTRAL,0.584844456200008
FCS,1,7,89,54,HOME,0.13535051990542
Arkansas,1,1,3,31,HOME,0.305320015266068
LSU,0,4,0,1,HOME,0.711500999737627
