opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,57,HOME,0.000769998244192226
Kansas St,1,2018-9-8,5,7,21,AWAY,0.472544202064512
ULL,1,2018-9-15,6,5,46,HOME,0.470730482744223
Auburn,1,2018-10-6,7,5,14,HOME,0.597819822758721
Texas A&M,1,2018-10-27,8,4,15,HOME,0.612204350528535
Louisiana Tech,1,2018-11-3,7,5,42,HOME,0.441140405717563
Arkansas,1,2018-11-17,2,10,46,HOME,0.269664580760485
Mississippi,1,2018-11-22,5,7,32,AWAY,0.441826253707439
Kentucky,0,2018-9-22,9,3,21,AWAY,0.662329133530505
Florida,0,2018-9-29,9,3,7,HOME,0.651217922368491
LSU,0,2018-10-20,9,3,16,AWAY,0.726814543315172
Alabama,0,2018-11-10,13,0,24,AWAY,1
