opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-15,8,106,68,HOME,0.000769998244192226
Georgia St,1,2018-9-22,2,10,19,AWAY,0.192094577935086
Miami OH,1,2018-9-29,6,6,1,AWAY,0.45837188133336
E Michigan,1,2018-10-6,7,5,3,HOME,0.451471882561525
Bowling Green,1,2018-10-13,3,9,7,AWAY,0.140385424802793
C Michigan,1,2018-10-20,1,11,25,AWAY,0.107247264944998
N Illinois,1,2018-11-20,8,5,7,HOME,0.512425574248057
Syracuse,0,2018-8-31,9,3,13,HOME,0.659872406070867
Michigan,0,2018-9-8,10,2,46,AWAY,0.822928100511648
Toledo,0,2018-10-25,7,5,27,HOME,0.486054902807487
Ohio,0,2018-11-1,8,4,45,HOME,0.603861584109007
Ball St,0,2018-11-13,4,8,1,AWAY,0.194642348013845
