opponent,result,date,win,loss,margin,location,opponent rating
Texas St,1,2018-9-22,3,9,4,HOME,0.205154738347006
UTEP,1,2018-9-29,1,11,9,HOME,0
Rice,1,2018-10-6,2,11,17,AWAY,0.087561129839736
Arizona St,0,2018-9-1,7,5,42,AWAY,0.545411390581512
Baylor,0,2018-9-8,6,6,17,HOME,0.43300358027017
Kansas St,0,2018-9-15,5,7,24,AWAY,0.472544202064512
Louisiana Tech,0,2018-10-13,7,5,28,HOME,0.441140405717563
Southern Miss,0,2018-10-20,6,5,10,AWAY,0.347237402073064
UAB,0,2018-11-3,10,3,49,AWAY,0.521923000912338
Florida Intl,0,2018-11-10,8,4,38,HOME,0.475982875318223
Marshall,0,2018-11-17,8,4,23,AWAY,0.531754889860287
North Texas,0,2018-11-24,9,3,3,HOME,0.566226921948455
