opponent,result,date,win,loss,margin,location,opponent rating
Kent,1,2018-9-1,2,10,7,HOME,0.134175713618153
FCS,1,2018-9-8,8,106,20,HOME,0.000769998244192226
Rutgers,1,2018-10-6,1,11,21,AWAY,0.142195290938339
Minnesota,1,2018-11-3,6,6,24,HOME,0.458137990603829
South Florida,0,2018-9-15,7,5,6,HOME,0.43506939815558
Penn St,0,2018-9-21,9,3,39,HOME,0.697394135264368
Purdue,0,2018-10-13,6,6,39,HOME,0.5428304930475
Wisconsin,0,2018-10-20,7,5,29,AWAY,0.528155201562796
Maryland,0,2018-10-27,5,7,30,AWAY,0.461267331603312
Nebraska,0,2018-11-10,4,8,19,AWAY,0.414758409178414
Iowa,0,2018-11-17,8,4,63,HOME,0.648865014312003
Northwestern,0,2018-11-24,8,5,8,AWAY,0.565096527710274
