opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-8,8,106,77,HOME,0.000769998244192226
Houston,1,2018-9-15,8,4,14,HOME,0.525693614507003
Oklahoma St,1,2018-9-22,6,6,24,AWAY,0.509986694345833
TCU,1,2018-10-11,6,6,3,AWAY,0.472750818076519
Kansas,1,2018-10-20,3,9,32,HOME,0.221018492957153
Mississippi,0,2018-9-1,5,7,20,NEUTRAL,0.441826253707439
West Virginia,0,2018-9-29,8,3,8,HOME,0.68824171421713
Iowa St,0,2018-10-27,8,4,9,AWAY,0.576450167683861
Oklahoma,0,2018-11-3,12,1,5,HOME,0.780914806571746
Texas,0,2018-11-10,9,4,7,HOME,0.624442893770101
Kansas St,0,2018-11-17,5,7,15,AWAY,0.472544202064512
Baylor,0,2018-11-24,6,6,11,NEUTRAL,0.43300358027017
