opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,35,HOME,0.000769998244192226
Tulsa,1,2018-10-20,3,9,23,HOME,0.248278564102298
Colorado St,0,2018-9-8,3,9,7,AWAY,0.161064288308334
North Texas,0,2018-9-15,9,3,27,HOME,0.566226921948455
Auburn,0,2018-9-22,7,5,31,AWAY,0.597819822758721
Texas A&M,0,2018-9-29,8,4,7,NEUTRAL,0.612204350528535
Alabama,0,2018-10-6,13,0,34,HOME,1
Mississippi,0,2018-10-13,5,7,4,HOME,0.441826253707439
Vanderbilt,0,2018-10-27,6,6,14,HOME,0.536973229914925
LSU,0,2018-11-10,9,3,7,HOME,0.726814543315172
Mississippi St,0,2018-11-17,8,4,46,AWAY,0.700152924782952
Missouri,0,2018-11-23,8,4,38,AWAY,0.711730361401004
