opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-15,8,106,7,HOME,0.000769998244192226
C Michigan,1,2018-11-10,1,11,11,AWAY,0.107247264944998
Akron,1,2018-11-17,4,8,15,AWAY,0.227510841608756
Oregon,0,2018-9-1,8,4,34,AWAY,0.505073020726282
Maryland,0,2018-9-8,5,7,31,HOME,0.461267331603312
Miami OH,0,2018-9-22,6,6,15,HOME,0.45837188133336
Georgia Tech,0,2018-9-29,7,5,46,AWAY,0.524202622754867
Toledo,0,2018-10-6,7,5,16,AWAY,0.486054902807487
W Michigan,0,2018-10-13,7,5,7,HOME,0.460361066971564
Ohio,0,2018-10-20,8,4,35,AWAY,0.603861584109007
Kent,0,2018-10-30,2,10,7,HOME,0.134175713618153
Buffalo,0,2018-11-23,10,3,30,HOME,0.548891754404769
