opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,63,HOME,0.000769998244192226
Nevada,1,2018-9-22,7,5,19,HOME,0.440983667473
Bowling Green,1,2018-10-6,3,9,16,HOME,0.140385424802793
W Michigan,1,2018-10-25,7,5,27,AWAY,0.460361066971564
Ball St,1,2018-10-31,4,8,32,HOME,0.194642348013845
Kent,1,2018-11-15,2,10,22,AWAY,0.134175713618153
C Michigan,1,2018-11-23,1,11,38,HOME,0.107247264944998
Miami FL,0,2018-9-15,7,5,25,HOME,0.540586158977233
Fresno St,0,2018-9-29,11,2,22,AWAY,0.703094438818044
E Michigan,0,2018-10-13,7,5,2,AWAY,0.451471882561525
Buffalo,0,2018-10-20,10,3,14,HOME,0.548891754404769
N Illinois,0,2018-11-7,8,5,23,AWAY,0.512425574248057
