opponent,result,date,win,loss,margin,location,opponent rating
Appalachian St,1,2018-9-1,10,2,7,HOME,0.659401122251941
Pittsburgh,1,2018-9-8,7,6,45,AWAY,0.539907904792352
Kent,1,2018-9-15,2,10,53,HOME,0.134175713618153
Illinois,1,2018-9-21,4,8,39,AWAY,0.251073638319793
Indiana,1,2018-10-20,5,7,5,AWAY,0.423952308627547
Iowa,1,2018-10-27,8,4,6,HOME,0.648865014312003
Wisconsin,1,2018-11-10,7,5,12,HOME,0.528155201562796
Rutgers,1,2018-11-17,1,11,13,AWAY,0.142195290938339
Maryland,1,2018-11-24,5,7,35,HOME,0.461267331603312
Ohio St,0,2018-9-29,12,1,1,HOME,0.794079344659673
Michigan St,0,2018-10-13,7,5,4,HOME,0.544591531393688
Michigan,0,2018-11-3,10,2,35,AWAY,0.822928100511648
