opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-8-30,8,106,4,HOME,0.000769998244192226
ULM,1,2018-9-29,6,6,32,HOME,0.344645210077282
NC State,0,2018-9-8,9,3,34,AWAY,0.658476757405083
Memphis,0,2018-9-14,8,5,37,AWAY,0.555004023858093
W Michigan,0,2018-9-22,7,5,19,HOME,0.460361066971564
Troy,0,2018-10-4,9,3,17,AWAY,0.559089094366952
Arkansas St,0,2018-10-18,8,4,16,AWAY,0.542798882966119
Coastal Car,0,2018-10-27,5,7,3,HOME,0.311564379778839
Texas St,0,2018-11-3,3,9,9,HOME,0.205154738347006
ULL,0,2018-11-10,6,5,14,AWAY,0.470730482744223
Appalachian St,0,2018-11-17,10,2,28,AWAY,0.659401122251941
Ga Southern,0,2018-11-24,9,3,21,HOME,0.580629140209413
