opponent,result,date,win,loss,margin,location,opponent rating
Colorado St,1,2018-8-31,3,9,32,NEUTRAL,0.161064288308334
Nebraska,1,2018-9-8,4,8,5,AWAY,0.414758409178414
FCS,1,2018-9-15,8,106,31,HOME,0.000769998244192226
UCLA,1,2018-9-28,3,9,22,HOME,0.280733958670922
Arizona St,1,2018-10-6,7,5,7,HOME,0.545411390581512
USC,0,2018-10-13,5,7,11,AWAY,0.440537069586333
Washington,0,2018-10-20,10,3,14,AWAY,0.679428969852715
Oregon St,0,2018-10-27,2,10,7,HOME,0.173732331314971
Arizona,0,2018-11-2,5,7,8,AWAY,0.42753875764292
Washington St,0,2018-11-10,10,2,24,HOME,0.674582596015174
Utah,0,2018-11-17,9,4,23,HOME,0.642840902543242
California,0,2018-11-24,7,5,12,AWAY,0.419560912467013
