opponent,result,date,win,loss,margin,location,opponent rating
San Diego St,1,2018-8-31,7,5,21,HOME,0.479206894566261
USC,1,2018-9-8,5,7,14,HOME,0.440537069586333
FCS,1,2018-9-15,8,106,20,HOME,0.000769998244192226
Oregon,1,2018-9-22,8,4,7,AWAY,0.505073020726282
Arizona St,1,2018-10-18,7,5,7,AWAY,0.545411390581512
Oregon St,1,2018-11-10,2,10,31,HOME,0.173732331314971
UCLA,1,2018-11-24,3,9,7,AWAY,0.280733958670922
California,1,2018-12-1,7,5,10,AWAY,0.419560912467013
Notre Dame,0,2018-9-29,12,0,21,AWAY,0.874948495859429
Utah,0,2018-10-6,9,4,19,HOME,0.642840902543242
Washington St,0,2018-10-27,10,2,3,HOME,0.674582596015174
Washington,0,2018-11-3,10,3,4,AWAY,0.679428969852715
