opponent,result,date,win,loss,margin,location,opponent rating
UT San Antonio,1,2018-9-1,3,9,42,HOME,0.157072136220403
Michigan St,1,2018-9-8,7,5,3,HOME,0.544591531393688
Oregon St,1,2018-9-29,2,10,28,HOME,0.173732331314971
USC,1,2018-10-27,5,7,3,AWAY,0.440537069586333
Utah,1,2018-11-3,9,4,18,HOME,0.642840902543242
UCLA,1,2018-11-10,3,9,3,HOME,0.280733958670922
Arizona,1,2018-11-24,5,7,1,AWAY,0.42753875764292
San Diego St,0,2018-9-15,7,5,7,AWAY,0.479206894566261
Washington,0,2018-9-22,10,3,7,AWAY,0.679428969852715
Colorado,0,2018-10-6,5,7,7,AWAY,0.347842752816767
Stanford,0,2018-10-18,8,4,7,HOME,0.61294634639621
Oregon,0,2018-11-17,8,4,2,AWAY,0.505073020726282
