opponent,result,date,win,loss,margin,location,opponent rating
Arizona,1,2018-9-1,5,7,5,AWAY,0.42753875764292
Wisconsin,1,2018-9-15,7,5,3,AWAY,0.528155201562796
FCS,1,2018-9-22,8,106,27,HOME,0.000769998244192226
Hawaii,1,2018-10-13,8,5,26,HOME,0.423791787116062
Massachusetts,1,2018-11-10,4,8,19,AWAY,0.249056873231254
New Mexico St,1,2018-11-17,3,9,35,HOME,0.135628013475393
California,0,2018-9-8,7,5,3,HOME,0.419560912467013
Washington,0,2018-9-29,10,3,28,AWAY,0.679428969852715
Utah St,0,2018-10-5,10,2,25,HOME,0.667466493543272
N Illinois,0,2018-10-27,8,5,1,HOME,0.512425574248057
Boise St,0,2018-11-3,10,3,5,AWAY,0.650992768654197
Utah,0,2018-11-24,9,4,8,AWAY,0.642840902543242
