opponent,result,date,win,loss,margin,location,opponent rating
Bowling Green,1,2018-9-1,3,9,34,HOME,0.140385424802793
FCS,1,2018-9-8,8,106,48,HOME,0.000769998244192226
San Jose St,1,2018-9-15,1,11,13,HOME,0.159323559459047
California,1,2018-9-29,7,5,18,AWAY,0.419560912467013
Washington,1,2018-10-13,10,3,3,HOME,0.679428969852715
UCLA,1,2018-11-3,3,9,21,HOME,0.280733958670922
Arizona St,1,2018-11-17,7,5,2,HOME,0.545411390581512
Oregon St,1,2018-11-23,2,10,40,AWAY,0.173732331314971
Stanford,0,2018-9-22,8,4,7,HOME,0.61294634639621
Washington St,0,2018-10-20,10,2,14,AWAY,0.674582596015174
Arizona,0,2018-10-27,5,7,29,AWAY,0.42753875764292
Utah,0,2018-11-10,9,4,7,AWAY,0.642840902543242
