opponent,result,date,win,loss,margin,location,opponent rating
New Mexico St,1,2018-9-8,3,9,47,HOME,0.135628013475393
FCS,1,2018-9-13,8,106,61,HOME,0.000769998244192226
Air Force,1,2018-9-22,5,7,10,HOME,0.419626714314724
BYU,1,2018-10-5,6,6,25,AWAY,0.468920807623431
UNLV,1,2018-10-13,4,8,31,HOME,0.242047874131288
Wyoming,1,2018-10-20,6,6,8,AWAY,0.419358145826074
New Mexico,1,2018-10-27,3,9,42,HOME,0.236699965704469
Hawaii,1,2018-11-3,8,5,39,AWAY,0.423791787116062
San Jose St,1,2018-11-10,1,11,38,HOME,0.159323559459047
Colorado St,1,2018-11-17,3,9,5,AWAY,0.161064288308334
Michigan St,0,2018-8-31,7,5,7,AWAY,0.544591531393688
Boise St,0,2018-11-24,10,3,9,AWAY,0.650992768654197
