opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-8,8,106,34,HOME,0.000769998244192226
Northwestern,1,2018-9-15,8,5,5,AWAY,0.565096527710274
Kent,1,2018-10-20,2,10,1,AWAY,0.134175713618153
C Michigan,1,2018-10-27,1,11,7,HOME,0.107247264944998
Iowa St,0,2018-9-22,8,4,13,AWAY,0.576450167683861
Miami OH,0,2018-10-6,6,6,24,HOME,0.45837188133336
Buffalo,0,2018-10-13,10,3,18,AWAY,0.548891754404769
N Illinois,0,2018-11-1,8,5,10,HOME,0.512425574248057
E Michigan,0,2018-11-10,7,5,20,AWAY,0.451471882561525
Bowling Green,0,2018-11-17,3,9,15,HOME,0.140385424802793
Ohio,0,2018-11-23,8,4,21,AWAY,0.603861584109007
South Carolina,0,2018-12-1,7,5,25,AWAY,0.552574974401991
