opponent,result,date,win,loss,margin,location,opponent rating
Miami OH,1,2018-9-1,6,6,7,AWAY,0.45837188133336
FCS,1,2018-9-8,8,106,16,HOME,0.000769998244192226
WKU,1,2018-9-29,3,9,3,AWAY,0.216702075652369
Old Dominion,1,2018-10-13,4,8,22,AWAY,0.249476996007373
FL Atlantic,1,2018-10-20,5,7,24,HOME,0.461693554039236
Charlotte,1,2018-11-10,5,7,17,HOME,0.323727691666351
UT San Antonio,1,2018-11-17,3,9,23,HOME,0.157072136220403
Florida Intl,1,2018-11-24,8,4,3,AWAY,0.475982875318223
NC State,0,2018-9-22,9,3,17,HOME,0.658476757405083
MTSU,0,2018-10-5,8,5,10,HOME,0.484435690225168
Southern Miss,0,2018-11-3,6,5,2,AWAY,0.347237402073064
Virginia Tech,0,2018-12-1,6,6,21,AWAY,0.439317027736125
