opponent,result,date,win,loss,margin,location,opponent rating
Colorado St,1,2018-8-25,3,9,9,AWAY,0.161064288308334
Navy,1,2018-9-1,3,9,18,HOME,0.324077406998877
Rice,1,2018-9-8,2,11,14,HOME,0.087561129839736
FCS,1,2018-9-22,8,106,21,HOME,0.000769998244192226
San Jose St,1,2018-9-29,1,11,3,AWAY,0.159323559459047
Wyoming,1,2018-10-6,6,6,4,HOME,0.419358145826074
UNLV,1,2018-11-17,4,8,7,HOME,0.242047874131288
San Diego St,1,2018-11-24,7,5,1,AWAY,0.479206894566261
Army,0,2018-9-15,9,2,7,AWAY,0.592703055035996
BYU,0,2018-10-13,6,6,26,AWAY,0.468920807623431
Nevada,0,2018-10-20,7,5,18,HOME,0.440983667473
Fresno St,0,2018-10-27,11,2,30,AWAY,0.703094438818044
Utah St,0,2018-11-3,10,2,39,HOME,0.667466493543272
