opponent,result,date,win,loss,margin,location,opponent rating
Washington,1,2018-9-1,10,3,5,NEUTRAL,0.679428969852715
FCS,1,2018-9-8,8,106,54,HOME,0.000769998244192226
Arkansas,1,2018-9-22,2,10,31,HOME,0.269664580760485
Southern Miss,1,2018-9-29,6,5,11,HOME,0.347237402073064
Mississippi,1,2018-10-20,5,7,15,AWAY,0.441826253707439
Texas A&M,1,2018-11-3,8,4,4,HOME,0.612204350528535
Liberty,1,2018-11-17,6,6,53,HOME,0.340221082457989
LSU,0,2018-9-15,9,3,1,HOME,0.726814543315172
Mississippi St,0,2018-10-6,8,4,14,AWAY,0.700152924782952
Tennessee,0,2018-10-13,5,7,6,HOME,0.426213570238814
Georgia,0,2018-11-10,11,2,17,AWAY,0.853521788113883
Alabama,0,2018-11-24,13,0,31,AWAY,1
