opponent,result,date,win,loss,margin,location,opponent rating
New Mexico St,1,2018-8-25,3,9,22,AWAY,0.135628013475393
FCS,1,2018-9-15,8,106,3,HOME,0.000769998244192226
Colorado St,1,2018-10-26,3,9,13,AWAY,0.161064288308334
San Jose St,1,2018-11-3,1,11,15,HOME,0.159323559459047
Air Force,1,2018-11-17,5,7,8,HOME,0.419626714314724
New Mexico,1,2018-11-24,3,9,28,AWAY,0.236699965704469
Washington St,0,2018-9-1,10,2,22,HOME,0.674582596015174
Missouri,0,2018-9-8,8,4,27,AWAY,0.711730361401004
Boise St,0,2018-9-29,10,3,20,HOME,0.650992768654197
Hawaii,0,2018-10-6,8,5,4,AWAY,0.423791787116062
Fresno St,0,2018-10-13,11,2,24,AWAY,0.703094438818044
Utah St,0,2018-10-20,10,2,8,HOME,0.667466493543272
