opponent,result,date,win,loss,margin,location,opponent rating
Texas St,1,2018-9-15,3,9,10,HOME,0.205154738347006
FCS,1,2018-10-13,8,106,38,HOME,0.000769998244192226
Coastal Car,1,2018-11-23,5,7,3,HOME,0.311564379778839
Louisiana Tech,0,2018-9-1,7,5,4,HOME,0.441140405717563
Oklahoma St,0,2018-9-8,6,6,42,AWAY,0.509986694345833
Memphis,0,2018-9-22,8,5,17,AWAY,0.555004023858093
Appalachian St,0,2018-9-29,10,2,45,AWAY,0.659401122251941
Ga Southern,0,2018-10-6,9,3,35,AWAY,0.580629140209413
Troy,0,2018-10-23,9,3,21,HOME,0.559089094366952
Arkansas St,0,2018-11-3,8,4,24,AWAY,0.542798882966119
ULM,0,2018-11-10,6,6,28,HOME,0.344645210077282
ULL,0,2018-11-17,6,5,10,AWAY,0.470730482744223
