opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-8-30,8,106,31,HOME,0.000769998244192226
N Illinois,1,2018-9-8,8,5,11,AWAY,0.512425574248057
Stanford,1,2018-10-6,8,4,19,AWAY,0.61294634639621
Arizona,1,2018-10-12,5,7,32,HOME,0.42753875764292
USC,1,2018-10-20,5,7,13,HOME,0.440537069586333
UCLA,1,2018-10-26,3,9,31,AWAY,0.280733958670922
Oregon,1,2018-11-10,8,4,7,HOME,0.505073020726282
Colorado,1,2018-11-17,5,7,23,AWAY,0.347842752816767
BYU,1,2018-11-24,6,6,8,HOME,0.468920807623431
Washington,0,2018-9-15,10,3,14,HOME,0.679428969852715
Washington St,0,2018-9-29,10,2,4,AWAY,0.674582596015174
Arizona St,0,2018-11-3,7,5,18,AWAY,0.545411390581512
Washington,0,2018-11-30,10,3,7,NEUTRAL,0.679428969852715
