opponent,result,date,win,loss,margin,location,opponent rating
Liberty,1,2018-9-8,6,6,24,HOME,0.340221082457989
Hawaii,1,2018-9-15,8,5,7,HOME,0.423791787116062
Buffalo,1,2018-9-29,10,3,29,AWAY,0.548891754404769
San Jose St,1,2018-10-13,1,11,49,AWAY,0.159323559459047
Miami OH,1,2018-10-20,6,6,1,HOME,0.45837188133336
E Michigan,1,2018-10-27,7,5,15,AWAY,0.451471882561525
Air Force,1,2018-11-3,5,7,3,HOME,0.419626714314724
FCS,1,2018-11-10,8,106,18,HOME,0.000769998244192226
FCS,1,2018-11-17,8,106,14,HOME,0.000769998244192226
Duke,0,2018-8-31,7,5,20,AWAY,0.5192774409515
Oklahoma,0,2018-9-22,12,1,7,AWAY,0.780914806571746
