opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-8-25,8,106,3,HOME,0.000769998244192226
Old Dominion,1,2018-11-24,4,8,14,HOME,0.249476996007373
Houston,0,2018-9-1,8,4,18,HOME,0.525693614507003
Hawaii,0,2018-9-8,8,5,14,AWAY,0.423791787116062
Southern Miss,0,2018-9-22,6,5,18,AWAY,0.347237402073064
Wake Forest,0,2018-9-29,6,6,32,AWAY,0.473718361993184
UT San Antonio,0,2018-10-6,3,9,17,HOME,0.157072136220403
UAB,0,2018-10-13,10,3,42,HOME,0.521923000912338
Florida Intl,0,2018-10-20,8,4,19,AWAY,0.475982875318223
North Texas,0,2018-10-27,9,3,24,AWAY,0.566226921948455
UTEP,0,2018-11-3,1,11,8,HOME,0
Louisiana Tech,0,2018-11-10,7,5,15,AWAY,0.441140405717563
LSU,0,2018-11-17,9,3,32,AWAY,0.726814543315172
