opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,3,HOME,0.000769998244192226
UT San Antonio,1,2018-9-15,3,9,24,HOME,0.157072136220403
Oklahoma St,1,2018-10-13,6,6,19,HOME,0.509986694345833
Kansas,1,2018-11-10,3,9,4,HOME,0.221018492957153
Texas Tech,1,2018-11-17,5,7,15,HOME,0.433867128284314
Mississippi St,0,2018-9-8,8,4,21,HOME,0.700152924782952
West Virginia,0,2018-9-22,8,3,29,AWAY,0.68824171421713
Texas,0,2018-9-29,9,4,5,HOME,0.624442893770101
Baylor,0,2018-10-6,6,6,3,AWAY,0.43300358027017
Oklahoma,0,2018-10-27,12,1,37,AWAY,0.780914806571746
TCU,0,2018-11-3,6,6,1,AWAY,0.472750818076519
Iowa St,0,2018-11-24,8,4,4,AWAY,0.576450167683861
