opponent,result,date,win,loss,margin,location,opponent rating
W Michigan,1,2018-8-31,7,5,13,AWAY,0.460361066971564
FCS,1,2018-9-8,8,106,52,HOME,0.000769998244192226
Florida St,1,2018-9-15,5,7,23,HOME,0.433535169304531
Connecticut,1,2018-9-22,1,11,30,HOME,0.0609382834729059
North Carolina,1,2018-10-20,2,9,3,HOME,0.260469377823359
NC State,1,2018-10-27,9,3,10,HOME,0.658476757405083
Wake Forest,1,2018-11-3,6,6,17,AWAY,0.473718361993184
Louisville,1,2018-11-9,2,10,31,HOME,0.229406836627335
Boston College,1,2018-11-24,7,5,21,AWAY,0.583380130118003
Clemson,0,2018-9-29,13,0,4,AWAY,0.961719907014965
Pittsburgh,0,2018-10-6,7,6,7,AWAY,0.539907904792352
Notre Dame,0,2018-11-17,12,0,33,NEUTRAL,0.874948495859429
