rank,team,winpercentage,rating,averageMOV,averageMOL,conference
1,UCF,1,1,31.75,0,AAC-EAST
2,ALABAMA,1,0.970538838317514,32.6666666666667,0,SEC West
3,PENN STATE,1,0.927024694177705,30.6666666666667,0,Big-10 East
4,CLEMSON,1,0.917799973729613,23.6666666666667,0,ACC Atlantic
5,OHIO STATE,0.833333333333333,0.885183954251508,39.2,15,Big-10 East
6,GEORGIA,1,0.878275444105823,25,0,SEC East
7,WISCONSIN,1,0.865404515217338,26,0,Big-10 West
8,TCU,1,0.854947051756418,24.8,0,Big-12
9,WASHINGTON,1,0.847311800152055,32.8333333333333,0,PAC-12 North
10,MIAMI-FLORIDA,1,0.833002771462898,19.75,0,ACC Coastal
11,NOTRE DAME,0.833333333333333,0.827135350556936,28,1,Independent
12,MICHIGAN,0.8,0.795492051558487,18,4,Big-10 East
13,WASHINGTON ST,1,0.779113148072328,21.1666666666667,0,PAC-12 North
14,USC,0.833333333333333,0.771999157857174,15.4,3,PAC-12 South
15,NAVY,1,0.743624222116221,9.6,0,AAC-WEST
16,SAN DIEGO ST,1,0.7397832791904,12.5,0,Mountain West West
17,OKLAHOMA,0.8,0.735873498879856,28.5,7,Big-12
18,MICHIGAN STATE,0.8,0.729314065150712,12.5,20,Big-10 East
19,OKLAHOMA STATE,0.8,0.727322088211215,29.25,13,Big-12
20,AUBURN,0.833333333333333,0.721423465439959,29,8,SEC West
21,NC STATE,0.833333333333333,0.719744376050229,15.6,7,ACC Atlantic
22,IOWA,0.666666666666667,0.691967719260441,17.5,4.5,Big-10 West
23,SO FLORIDA,1,0.678610961418595,24.8,0,AAC-EAST
24,HOUSTON,0.8,0.667699194400949,14.5,3,AAC-WEST
25,KENTUCKY,0.833333333333333,0.663042918369125,7.6,1,SEC East
26,VIRGINIA,0.8,0.658883681022927,16,17,ACC Coastal
27,MEMPHIS,0.8,0.658013565856988,15.75,27,AAC-WEST
28,OREGON,0.666666666666667,0.646147264554678,30,12.5,PAC-12 North
29,GEORGIA TECH,0.75,0.644116684922806,23.6666666666667,1,ACC Coastal
30,PURDUE,0.6,0.643635054666137,23,12.5,Big-10 West
31,MARYLAND,0.6,0.636784301845147,21,38,Big-10 East
32,VIRGINIA TECH,0.833333333333333,0.63660718751663,26.4,14,ACC Coastal
33,STANFORD,0.666666666666667,0.636028467144552,23,10.5,PAC-12 North
34,MISS STATE,0.6,0.628888487994874,38.3333333333333,33.5,SEC West
35,TEXAS A&M,0.666666666666667,0.628207077361505,12,4.5,SEC West
36,TEXAS TECH,0.8,0.620336747469468,25.5,7,Big-12
37,SMU,0.666666666666667,0.619046207694367,27.5,16.5,AAC-WEST
38,BOISE STATE,0.6,0.611988519961671,14,11,Mountain West Mountain
39,MARSHALL,0.8,0.608084241520427,13.5,17,Conference USA East
40,SO CAROLINA,0.666666666666667,0.607564645643844,13,8.5,SEC East
41,WAKE FOREST,0.666666666666667,0.607423762589867,26.25,10.5,ACC Atlantic
42,IOWA STATE,0.6,0.603209637199971,17.3333333333333,6.5,Big-12
43,LOUISVILLE,0.666666666666667,0.603178252167605,25.75,20,ACC Atlantic
44,FLORIDA,0.6,0.600800661131449,7,8.5,SEC East
45,INDIANA,0.5,0.593421315798125,26,29.5,Big-10 East
46,MINNESOTA,0.6,0.593135231276653,25,10.5,Big-10 West
47,UTAH,0.8,0.590713389984363,17.75,3,PAC-12 South
48,TOLEDO,0.8,0.590551485190792,13.75,22,MAC West
49,TEXAS,0.6,0.586873876759925,24,6.5,Big-12
50,DUKE,0.666666666666667,0.58435992486603,25.25,16,ACC Coastal
51,COLORADO STATE,0.666666666666667,0.576914029467882,25.5,16,Mountain West Mountain
52,TROY,0.8,0.571377621435196,9.5,11,Sun Belt
53,WESTERN MICH,0.666666666666667,0.562615932109796,24.75,16,MAC West
54,TULANE,0.6,0.555819045108564,22.3333333333333,22,AAC-WEST
55,FRESNO STATE,0.6,0.549198917487191,34.3333333333333,31.5,Mountain West West
56,TX-SAN ANTONIO,0.75,0.546471902605746,23.6666666666667,2,Conference USA West
57,APPALACHIAN ST,0.6,0.545388441924716,22.6666666666667,11,Sun Belt
58,VANDERBILT,0.5,0.543622097893268,23.6666666666667,34.6666666666667,SEC East
59,NEBRASKA,0.5,0.537750001675424,13,10.6666666666667,Big-10 West
60,GEORGIA STATE,0.6,0.533593444159258,20.3333333333333,31.5,Sun Belt
61,ARMY,0.666666666666667,0.531241464058348,28.25,17.5,Independent
62,LSU,0.666666666666667,0.530764080278895,18,16.5,SEC West
63,NORTHERN ILL,0.6,0.529623619680528,17.6666666666667,4.5,MAC West
64,FLORIDA STATE,0.25,0.518059200894894,7,9,ACC Atlantic
65,FLA ATLANTIC,0.5,0.516953223416066,31,14.3333333333333,Conference USA East
66,UCLA,0.6,0.516462678107368,12.6666666666667,13.5,PAC-12 South
67,COLORADO,0.5,0.513570355809126,22.6666666666667,11.3333333333333,PAC-12 South
68,NORTH TEXAS,0.6,0.507851575891289,21,19.5,Conference USA West
69,ARIZONA,0.6,0.499868556494791,29.3333333333333,4.5,PAC-12 South
