opponent,result,win,loss,margin,location,opponent rating
Houston,1,1,3,3,HOME,0.182344229741574
Jacksonville,1,3,1,3,AWAY,0.583874520313696
Philadelphia,1,2,2,3,HOME,0.480787598247115
Miami,0,3,1,7,AWAY,0.435527919020059
