rank,team,winpercentage,rating,averageMOV,averageMOL,conference,rawRank
109,Tulane,0.333333333333333,0.192532769345893,6,21.375,Conference USA,-0.423628790030715
110,Vanderbilt,0.166666666666667,0.182245964296004,30,23.1,Southeastern Conference,-0.437707138585669
111,Louisiana-Lafayette,0.25,0.181951037060803,3,20.5555555555556,Sun Belt Conference,-0.438110771084672
112,UNLV,0.153846153846154,0.158963938931387,30.5,30.7272727272727,Mountain West Conference,-0.469570527525606
113,Colorado State,0.25,0.144897002289962,19.6666666666667,30.7777777777778,Mountain West Conference,-0.488822300740293
114,Western Kentucky,0.166666666666667,0.135972057294416,17,15.8,Sun Belt Conference,-0.501036830492092
115,New Mexico,0.0833333333333333,0.0808571208191082,3,31.3636363636364,Mountain West Conference,-0.57646620685323
116,Buffalo,0.166666666666667,0.0738424585404222,16.5,19.7,Mid-American Conference,-0.586066355765584
117,Eastern Michigan,0.166666666666667,0.0492581448581655,3.5,30.6,Mid-American Conference,-0.619712034510733
118,FCS,0.0777777777777778,0.0429954127113189,2.57142857142857,30.9397590361446,FCS,-0.628283104546778
119,New Mexico State,0.166666666666667,0.0265886930678885,2,29,Western Athletic Conference,-0.650737065514443
120,Memphis,0.0833333333333333,0.0176859222962364,7,28.3636363636364,Conference USA,-0.662921248009316
121,Akron,0.0833333333333333,0,8,22,Mid-American Conference,-0.687125904195671
