8/29/2015,Montana,38,N Dakota St,35,3
9/3/2015,Georgia Tech,69,Alcorn St,6,63
9/3/2015,Duke,37,Tulane,7,30
9/3/2015,Utah,24,Michigan,17,7
9/3/2015,San Jose St,43,New Hampshire,13,30
9/3/2015,Ohio,45,Idaho,28,17
9/3/2015,South Carolina,17,North Carolina,13,4
9/3/2015,TCU,23,Minnesota,17,6
9/3/2015,Ball St,48,VMI,36,12
9/3/2015,Connecticut,20,Villanova,15,5
9/3/2015,Wake Forest,41,Elon,3,38
9/3/2015,Nevada,31,UC Davis,17,14
9/3/2015,Arizona,42,UT San Antonio,32,10
9/3/2015,WKU,14,Vanderbilt,12,2
9/3/2015,Florida Intl,15,UCF,14,1
9/3/2015,Fresno St,34,Abilene Chr,13,21
9/3/2015,Utah St,12,Southern Utah,9,3
9/3/2015,Hawaii,28,Colorado,20,8
9/3/2015,Oklahoma St,24,C Michigan,13,11
9/3/2015,Charleston So,41,North Greenville,14,27
9/3/2015,Murray St,52,KY Wesleyan,12,40
9/3/2015,Samford,45,Cent Arkansas,16,29
9/3/2015,Montana St,45,Ft Lewis,14,31
9/3/2015,Campbell,41,Pikeville,20,21
9/3/2015,SE Louisiana,34,Northwestern LA,20,14
9/3/2015,W Illinois,33,E Illinois,5,28
9/3/2015,E Kentucky,52,Valparaiso,10,42
9/3/2015,Kennesaw,56,ETSU,16,40
9/4/2015,Charlotte,23,Georgia St,20,3
9/4/2015,Boise St,16,Washington,13,3
9/4/2015,Michigan St,37,W Michigan,24,13
9/4/2015,Baylor,56,SMU,21,35
9/4/2015,Fordham,37,Army,35,2
9/4/2015,Oregon St,26,Weber St,7,19
9/4/2015,Syracuse,47,Rhode Island,0,47
9/4/2015,Lehigh,20,Central Conn,14,6
9/4/2015,Jacksonville,20,Delaware,14,6
9/5/2015,NC State,49,Troy,21,28
9/5/2015,Clemson,49,Wofford,10,39
9/5/2015,Missouri,34,SE Missouri St,3,31
9/5/2015,Mississippi,76,TN Martin,3,73
9/5/2015,Rice,56,Wagner,16,40
9/5/2015,East Carolina,28,Towson,20,8
9/5/2015,Pittsburgh,45,Youngstown St,37,8
9/5/2015,Air Force,63,Morgan St,7,56
9/5/2015,Alabama,35,Wisconsin,17,18
9/5/2015,UCLA,34,Virginia,16,18
9/5/2015,Arkansas,48,UTEP,13,35
9/5/2015,Old Dominion,38,E Michigan,34,4
9/5/2015,Miami OH,26,Presbyterian,7,19
9/5/2015,Buffalo,51,Albany NY,14,37
9/5/2015,S Dakota St,41,Kansas,38,3
9/5/2015,North Dakota,24,Wyoming,13,11
9/5/2015,Kansas St,34,South Dakota,0,34
9/5/2015,Colorado St,65,Savannah St,13,52
9/5/2015,Portland St,24,Washington St,17,7
9/5/2015,Cincinnati,52,Alabama A&M,10,42
9/5/2015,Tulsa,47,FL Atlantic,44,3
9/5/2015,Auburn,31,Louisville,24,7
9/5/2015,Boston College,24,Maine,3,21
