rank,team,winpercentage,rating,averageMOV,averageMOL,conference,rawRank
117,Bowling Green,0.166666666666667,0.23031982760515,18,18.8,MAC-East,-0.410386629261993
118,Hawaii,0.25,0.210722822610058,12.3333333333333,19,MW-West,-0.439977892971383
119,Baylor,0.0833333333333333,0.210482235030553,29,15.2727272727273,Big-XII,-0.440341177621918
120,Ga Southern,0.181818181818182,0.206682474049652,31,20.7777777777778,Sun Belt,-0.446078775242631
121,Coastal Car,0.181818181818182,0.193345076998441,8,16.7777777777778,Sun Belt,-0.466218099251665
122,Kent,0.166666666666667,0.162549633051062,5,27.8,MAC-East,-0.512718883593751
123,Oregon St,0.0833333333333333,0.159772088272623,3,24.6363636363636,Pac-12-North,-0.516912945873011
124,Texas St,0.166666666666667,0.119487305729422,14.5,22.5,Sun Belt,-0.577742527983697
125,Kansas,0.0833333333333333,0.118368709104991,22,29,Big-XII,-0.579431596703596
126,Rice,0.0833333333333333,0.110494862525964,17,22.8181818181818,CUSA-West,-0.591321019101175
127,Charlotte,0.0833333333333333,0.106718192829528,1,20.3636363636364,CUSA-East,-0.597023749139083
128,Ball St,0.166666666666667,0.0901223638272518,17.5,30.8,MAC-West,-0.622083269841677
129,FCS,0.0918367346938776,0.0780797195574582,11,31.4494382022472,FCS,-0.640267531310121
130,San Jose St,0.153846153846154,0.0486900647170032,12,32.7272727272727,MW-West,-0.684645589415562
131,UTEP,0,0,0,25,CUSA-West,-0.758167055884236
