rank,team,winpercentage,rating,averageMOV,averageMOL,conference,rawRank
1,Alabama,1,1,31.1111111111111,0,SEC-West,0.798743659449249
2,Georgia,1,0.96624406710968,24.8888888888889,0,SEC-East,0.745259386493278
3,Notre Dame,0.888888888888889,0.956584144255021,25.875,1,Independent,0.729953811801106
4,Penn St,0.777777777777778,0.929772723673048,30.4285714285714,2,B1G-East,0.687472706600252
5,UCF,1,0.911691320963069,28.25,0,AAC-East,0.65882379676147
6,Wisconsin,1,0.863932837811814,22.7777777777778,0,B1G-West,0.583153313713906
7,Clemson,0.888888888888889,0.857133327776343,20.375,3,ACC-Atlantic,0.572379893438863
8,Washington,0.888888888888889,0.8310426090791,31.625,6,Pac-12-North,0.531040697710699
9,Auburn,0.777777777777778,0.794107299181313,27.4285714285714,6,SEC-West,0.472518890488946
10,Ohio St,0.777777777777778,0.791101606556324,34.1428571428571,23,B1G-East,0.467756548802018
11,Mississippi St,0.777777777777778,0.786409761516897,30,33.5,SEC-West,0.460322598747014
12,Oklahoma,0.888888888888889,0.769696955452221,19.75,7,Big-XII,0.433842149065011
13,TCU,0.888888888888889,0.765748477423567,25.5,7,Big-XII,0.427586019884301
14,Michigan,0.777777777777778,0.761364792241653,17.5714285714286,16.5,B1G-East,0.420640330806351
15,Miami FL,1,0.742969634527082,13.875,0,ACC-Coastal,0.391494294771443
16,Oklahoma St,0.777777777777778,0.729733364786589,24.8571428571429,11.5,Big-XII,0.37052221066102
17,Iowa,0.666666666666667,0.726424384637477,18,5.33333333333333,B1G-West,0.365279327964775
18,Memphis,0.888888888888889,0.708155549971681,15.875,27,AAC-West,0.336333443314556
19,USC,0.8,0.704931838545009,15.375,19,Pac-12-South,0.331225663855287
20,Virginia Tech,0.777777777777778,0.69415615762479,29.2857142857143,16,ACC-Coastal,0.314152236664304
21,Michigan St,0.777777777777778,0.691862372193729,9.14285714285714,14,B1G-East,0.310517869778674
22,Boise St,0.777777777777778,0.688754098740368,17.5714285714286,11,MW-Mountain,0.305592994947998
23,South Florida,0.888888888888889,0.674293280650502,22.125,4,AAC-East,0.282680686592222
24,Toledo,0.888888888888889,0.667517268569788,19.125,22,MAC-West,0.271944497462209
25,Washington St,0.8,0.654398175786515,19.75,27.5,Pac-12-North,0.251158073367052
26,NC State,0.666666666666667,0.644442120230284,16,11.6666666666667,ACC-Atlantic,0.235383293949812
27,Northwestern,0.666666666666667,0.62768046123676,15.1666666666667,19,B1G-West,0.208825439731169
28,Iowa St,0.666666666666667,0.62205288727947,20.3333333333333,5.66666666666667,Big-XII,0.199908882670165
29,LSU,0.666666666666667,0.621587242360902,15.3333333333333,15.6666666666667,SEC-West,0.199171095972082
30,Boston College,0.555555555555556,0.619419219169211,17.8,23.25,ACC-Atlantic,0.195735991784914
31,Stanford,0.666666666666667,0.618399429198641,22.5,8,Pac-12-North,0.19412019518201
32,SMU,0.666666666666667,0.606947227631067,19.5,13.3333333333333,AAC-West,0.175974861190246
33,FL Atlantic,0.666666666666667,0.605842590250217,25,14.3333333333333,CUSA-East,0.174224628796702
34,San Diego St,0.8,0.605224831765209,17.625,20.5,MW-West,0.173245827176937
35,Georgia Tech,0.5,0.602940987538959,21.25,5,ACC-Coastal,0.169627211438924
36,Purdue,0.444444444444444,0.601661022794374,22,7.2,B1G-West,0.167599183257338
37,Wake Forest,0.555555555555556,0.594995126012043,23,11.5,ACC-Atlantic,0.157037465270361
38,Navy,0.625,0.591738307270388,9.6,7,AAC-West,0.151877229223376
39,Fresno St,0.666666666666667,0.58787330233356,28.6666666666667,24.3333333333333,MW-West,0.145753358249849
40,South Carolina,0.666666666666667,0.582840852488058,10.8333333333333,10.3333333333333,SEC-East,0.137779740017476
41,Texas A&M,0.555555555555556,0.58068592775669,10,11.25,SEC-West,0.134365389640622
42,Arizona,0.666666666666667,0.57817595802679,21.1666666666667,7.66666666666667,Pac-12-South,0.130388491533145
43,Ohio,0.777777777777778,0.572106046036318,23.7142857142857,13,MAC-East,0.120771076036237
44,Kentucky,0.666666666666667,0.571427525099431,6.83333333333333,14,SEC-East,0.119695999919318
45,Marshall,0.666666666666667,0.567851164663165,19,11,CUSA-East,0.114029468947342
46,Troy,0.777777777777778,0.562272118100225,12.4285714285714,11,Sun Belt,0.105189800711278
47,West Virginia,0.666666666666667,0.560146156323751,19.6666666666667,8.33333333333333,Big-XII,0.101821340359416
48,N Illinois,0.666666666666667,0.558193654085605,14.6666666666667,6.33333333333333,MAC-West,0.0987277164226487
49,Arkansas St,0.714285714285714,0.553802163448995,31.4,15,Sun Belt,0.0917696600836549
50,Houston,0.666666666666667,0.548466465896274,14.5,11.6666666666667,AAC-West,0.0833155638542944
51,Oregon,0.5,0.534831782797993,28.2,23.8,Pac-12-North,0.061712217482885
52,Arizona St,0.555555555555556,0.524535103207616,9,14.5,Pac-12-South,0.0453977395552359
53,Army,0.777777777777778,0.522802186774365,19.7142857142857,17.5,Independent,0.0426520362428462
54,Louisville,0.555555555555556,0.520389426642142,21.2,13.25,ACC-Atlantic,0.0388291609193723
55,North Texas,0.666666666666667,0.519189598143713,12.3333333333333,25.6666666666667,CUSA-West,0.036928103885115
56,Virginia,0.666666666666667,0.516501899406206,12.3333333333333,21.6666666666667,ACC-Coastal,0.032669604670724
57,Utah,0.555555555555556,0.516218601278156,20.4,11.25,Pac-12-South,0.0322207356653039
58,Wyoming,0.666666666666667,0.515861779009471,19.3333333333333,22.3333333333333,MW-Mountain,0.0316553719425139
59,Louisiana Tech,0.444444444444444,0.511968925329334,15.25,9.2,CUSA-West,0.0254873762255798
60,Tennessee,0.444444444444444,0.508708984165851,13.5,18.8,SEC-East,0.0203221928581932
61,Florida St,0.375,0.504586863420961,5.66666666666667,12.4,ACC-Atlantic,0.0137909370653591
62,Texas,0.444444444444444,0.497829972075782,25.75,7.6,Big-XII,0.00308504362243118
63,California,0.5,0.493582739727395,15.4,15.8,Pac-12-North,-0.00364444398840074
64,Missouri,0.444444444444444,0.492288826586261,36.25,23.6,SEC-East,-0.00569457264152799
65,Syracuse,0.444444444444444,0.490787630654618,18.25,7,ACC-Atlantic,-0.00807312854222096
66,Florida Intl,0.75,0.490051018566668,7.5,32,CUSA-East,-0.00924024668637413
67,Nebraska,0.444444444444444,0.487696145523315,10,16.2,B1G-West,-0.012971403306378
68,Maryland,0.444444444444444,0.487104229068264,16.5,24.8,B1G-East,-0.0139092598294985
69,Mississippi,0.444444444444444,0.486614299163634,16.75,22.4,SEC-West,-0.0146855246558949
70,Kansas St,0.555555555555556,0.485287692695165,22.8,10,Big-XII,-0.016787453941809
