9/13/1997,New Mexico,38,UTEP,20,18
9/13/1997,New Mexico St,28,CS Northridge,18,10
9/13/1997,North Carolina,28,Stanford,17,11
9/13/1997,North Texas,41,Indiana St,6,35
9/13/1997,Northwestern,24,Duke,20,4
9/13/1997,Ohio St,44,Bowling Green,13,31
9/13/1997,Oklahoma St,35,Fresno St,0,35
9/13/1997,Oregon,24,Nevada,20,4
9/13/1997,Penn St,52,Temple,10,42
9/13/1997,Pittsburgh,35,Houston,24,11
9/13/1997,Purdue,28,Notre Dame,17,11
9/13/1997,Rice,30,Tulane,24,6
9/13/1997,SMU,31,Arkansas,9,22
9/13/1997,Texas Tech,59,ULL,14,45
9/13/1997,Toledo,38,E Michigan,35,3
9/13/1997,UCLA,66,Texas,3,63
9/13/1997,Utah,32,TCU,18,14
9/13/1997,Virginia,26,Richmond,7,19
9/13/1997,Virginia Tech,31,Syracuse,3,28
9/13/1997,Washington,36,San Diego St,3,33
9/13/1997,Washington St,28,USC,21,7
9/13/1997,W Michigan,21,N Illinois,13,8
9/13/1997,Wisconsin,56,San Jose St,10,46
9/13/1997,Wyoming,35,Hawaii,6,29
9/18/1997,Pittsburgh,21,Miami FL,17,4
9/20/1997,Air Force,24,Colorado St,0,24
9/20/1997,UAB,34,Jacksonville St,16,18
9/20/1997,Arkansas,17,Alabama,16,1
9/20/1997,Auburn,31,LSU,28,3
9/20/1997,Boise St,24,Weber St,7,17
9/20/1997,Boston College,35,Rutgers,21,14
9/20/1997,Bowling Green,31,Akron,28,3
9/20/1997,BYU,13,Arizona St,10,3
9/20/1997,California,40,Oklahoma,36,4
9/20/1997,UCF,41,Idaho,10,31
9/20/1997,Cincinnati,34,Kansas,7,27
9/20/1997,Duke,20,Army,17,3
9/20/1997,Florida,33,Tennessee,20,13
9/20/1997,Florida St,35,Clemson,28,7
9/20/1997,Georgia,42,ULM,3,39
9/20/1997,Georgia Tech,28,Wake Forest,26,2
9/20/1997,Iowa,63,Iowa St,20,43
9/20/1997,Kent,41,E Michigan,38,3
9/20/1997,Kentucky,49,Indiana,7,42
9/20/1997,Louisiana Tech,56,C Michigan,28,28
9/20/1997,Marshall,48,W Illinois,7,41
9/20/1997,Michigan,38,Baylor,3,35
9/20/1997,Michigan St,23,Notre Dame,7,16
9/20/1997,Minnesota,20,Memphis,17,3
9/20/1997,Missouri,42,Tulsa,21,21
9/20/1997,Navy,46,SMU,16,30
9/20/1997,Nebraska,27,Washington,14,13
9/20/1997,UNLV,25,Hawaii,15,10
9/20/1997,New Mexico,25,Utah St,22,3
9/20/1997,North Carolina,40,Maryland,14,26
9/20/1997,NC State,41,N Illinois,14,27
9/20/1997,North Texas,30,Texas Tech,27,3
9/20/1997,Ohio,50,Buffalo,0,50
9/20/1997,Ohio St,28,Arizona,20,8
9/20/1997,Oregon,43,Fresno St,40,3
9/20/1997,Penn St,57,Louisville,21,36
9/20/1997,Purdue,28,Ball St,14,14
9/20/1997,Rice,40,Northwestern,34,6
9/20/1997,South Carolina,26,East Carolina,0,26
9/20/1997,Southern Miss,35,Nevada,19,16
9/20/1997,Southern Utah,34,Arkansas St,24,10
9/20/1997,Stanford,27,Oregon St,24,3
9/20/1997,Syracuse,30,Tulane,19,11
9/20/1997,Texas A&M,66,ULL,0,66
9/20/1997,Toledo,23,W Michigan,13,10
9/20/1997,Utah,56,UTEP,3,53
9/20/1997,Vanderbilt,40,TCU,16,24
9/20/1997,Virginia Tech,23,Temple,13,10
9/20/1997,Washington St,35,Illinois,22,13
9/20/1997,Wisconsin,36,San Diego St,10,26
9/20/1997,Wyoming,30,San Jose St,10,20
9/25/1997,Wake Forest,19,NC State,18,1
9/27/1997,Air Force,24,San Diego St,18,6
9/27/1997,Alabama,27,Southern Miss,13,14
9/27/1997,UAB,42,ULL,7,35
9/27/1997,Arizona St,13,Oregon St,10,3
9/27/1997,Arkansas,17,Louisiana Tech,13,4
9/27/1997,Auburn,41,UCF,14,27
9/27/1997,BYU,19,SMU,16,3
9/27/1997,Cincinnati,24,Boston College,6,18
9/27/1997,Colorado,20,Wyoming,19,1
9/27/1997,Duke,26,Navy,17,9
9/27/1997,E Michigan,31,C Michigan,24,7
9/27/1997,Florida,55,Kentucky,28,27
9/27/1997,Georgia Tech,23,Clemson,20,3
9/27/1997,Houston,45,Minnesota,43,2
9/27/1997,Iowa,38,Illinois,10,28
9/27/1997,Kansas St,58,Bowling Green,0,58
9/27/1997,LSU,56,Akron,0,56
9/27/1997,Marshall,42,Ball St,16,26
9/27/1997,Maryland,24,Temple,21,3
9/27/1997,Miami OH,38,Army,14,24
9/27/1997,Michigan,21,Notre Dame,14,7
9/27/1997,Mississippi,15,Vanderbilt,3,12
9/27/1997,Mississippi St,37,South Carolina,17,20
9/27/1997,UNLV,41,Illinois St,6,35
9/27/1997,North Carolina,48,Virginia,20,28
9/27/1997,Ohio,31,W Michigan,7,24
9/27/1997,Ohio St,31,Missouri,10,21
9/27/1997,Oklahoma,35,Louisville,14,21
9/27/1997,Oklahoma St,38,ULM,7,31
9/27/1997,Purdue,21,Northwestern,9,12
9/27/1997,USC,27,California,17,10
9/27/1997,Stanford,58,Oregon,49,9
9/27/1997,Texas,38,Rice,31,7
9/27/1997,Texas A&M,36,North Texas,10,26
9/27/1997,UTEP,24,New Mexico St,16,8
9/27/1997,Toledo,31,Nevada,13,18
9/27/1997,UCLA,40,Arizona,27,13
9/27/1997,Virginia Tech,50,Arkansas St,0,50
9/27/1997,Washington St,58,Boise St,0,58
9/27/1997,West Virginia,28,Miami FL,17,11
9/27/1997,Wisconsin,27,Indiana,26,1
10/2/1997,Fresno St,27,Utah,13,14
10/3/1997,BYU,42,Utah St,35,7
10/4/1997,Air Force,17,Citadel,3,14
10/4/1997,Akron,53,C Michigan,14,39
10/4/1997,UAB,20,WKU,16,4
10/4/1997,Arizona,31,San Diego St,28,3
10/4/1997,Auburn,23,South Carolina,6,17
10/4/1997,Bowling Green,35,N Illinois,10,25
10/4/1997,Caloly SLO,38,New Mexico St,35,3
10/4/1997,UCF,59,Kent,43,16
10/4/1997,Cincinnati,20,Memphis,17,3
10/4/1997,Clemson,39,UTEP,7,32
10/4/1997,Colorado St,63,Hawaii,0,63
10/4/1997,Florida,56,Arkansas,7,49
10/4/1997,Florida St,47,Miami FL,0,47
10/4/1997,Georgia,47,Mississippi St,0,47
10/4/1997,Georgia Tech,42,Boston College,14,28
