2018-08-25,@Massachusetts,63,Duquesne,15,
2018-08-25,@Rice,31,Prairie View,28,
2018-08-25,NC A&T,20,Jacksonville St,17,Montgomery, AL
2018-08-30,@Texas A&M,59,Northwestern LA,7,
2018-08-30,@Ball St,42,Central Conn,6,
2018-08-30,@Georgia St,24,Kennesaw,20,
2018-08-30,@UAB,52,Savannah St,0,
2018-08-30,UC Davis,44,@San Jose St,38,
2018-08-30,@Utah,41,Weber St,10,
2018-08-30,@Oklahoma St,58,Missouri St,17,
2018-08-30,@ULM,34,SE Louisiana,31,
2018-08-30,@Wagner,40,Bowie St,23,
2018-08-30,@Campbell,49,Chowan,26,
2018-08-30,@Chattanooga,34,Tennessee Tech,10,
2018-08-30,@E Kentucky,49,Morehead St,23,
2018-08-30,@Maine,35,New Hampshire,7,
2018-08-30,S Illinois,49,@Murray St,10,
2018-08-30,@Samford,66,Shorter,9,
2018-08-30,@Indiana St,49,Quincy,0,
2018-08-30,Rhode Island,21,@Delaware,19,
2018-08-30,@Montana St,26,W Illinois,23,
2018-08-30,@North Dakota,35,MS Valley St,7,
2018-08-31,@E Michigan,51,Monmouth NJ,17,
2018-08-31,@Nevada,72,Portland St,19,
2018-08-31,@Idaho St,45,Western St CO,10,
2018-09-01,@Baylor,55,Abilene Chr,27,
2018-09-01,@Pittsburgh,33,Albany NY,7,
2018-09-01,@Georgia Tech,41,Alcorn St,0,
2018-09-01,@Georgia,45,Austin Peay,0,
2018-09-01,@Tulsa,38,Cent Arkansas,27,
2018-09-01,@Florida,53,Charleston So,6,
2018-09-01,@Buffalo,48,Delaware St,10,
2018-09-01,@Arkansas,55,E Illinois,20,
2018-09-01,@South Florida,34,Elon,14,
2018-09-01,@Charlotte,34,Fordham,10,
2018-09-01,@Clemson,48,Furman,7,
2018-09-01,@Louisiana,49,Grambling,17,
2018-09-01,@Ohio,38,Howard,32,
2018-09-01,@Fresno St,79,Idaho,13,
2018-09-01,@New Mexico,62,Incarnate Word,30,
2018-09-01,@Southern Miss,55,Jackson St,7,
2018-09-01,@NC State,24,James Madison,13,
2018-09-01,@Memphis,66,Mercer,14,
2018-09-01,Nicholls St,26,@Kansas,23,
2018-09-01,@Virginia,42,Richmond,13,
2018-09-01,@Ga Southern,37,S Carolina St,6,
2018-09-01,@Kansas St,27,South Dakota,24,
2018-09-01,@Arkansas St,48,SE Missouri St,21,
2018-09-01,@TCU,55,Southern Univ,7,
2018-09-01,@Mississippi St,63,SF Austin,6,
2018-09-01,@Air Force,38,Stony Brook,0,
2018-09-01,@Missouri,51,TN Martin,14,
2018-09-01,Villanova,19,@Temple,17,
2018-09-01,@Toledo,66,VMI,3,
2018-09-01,@Alabama A&M,37,Miles,0,
2018-09-01,@Alabama St,26,Tuskegee,20,
2018-09-01,@Davidson,34,Brevard,13,
2018-09-01,William & Mary,14,@Bucknell,7,
2018-09-01,Butler,23,@Youngstown St,21,
2018-09-01,@N Dakota St,49,Cal Poly,3,
2018-09-01,@Wofford,28,Citadel,21,
2018-09-01,@Colgate,24,Holy Cross,17,
2018-09-01,@Duquesne,45,Lock Haven,0,
2018-09-01,@Gardner Webb,52,Limestone,17,
2018-09-01,@Houston Bap,49,SW Baptist,7,
2018-09-01,@Sacred Heart,35,Lafayette,6,
2018-09-01,@Lehigh,21,St Francis PA,19,
2018-09-01,McNeese St,17,@N Colorado,14,
2018-09-01,@Montana,26,Northern Iowa,23,
2018-09-01,Towson,36,@Morgan St,10,
2018-09-01,Northern Arizona,30,@UTEP,10,
2018-09-01,@San Diego,38,W New Mexico,9,
2018-09-01,Morehouse,34,@Ark Pine Bluff,30,
2018-09-01,@Bryant,41,New Haven,31,
2018-09-01,@E Washington,58,C Washington,13,
2018-09-01,@Dayton,49,Robert Morris,28,
2018-09-01,Georgetown,39,@Marist,14,
2018-09-01,@Jacksonville,63,St Augustine's,14,
2018-09-01,@Hampton,38,Shaw NC,10,
2018-09-01,North Alabama,34,@Southern Utah,30,
2018-09-01,@Tennessee St,34,Bethune-Cookman,3,
2018-09-01,@TX Southern,26,Permian Basin,16,
2018-09-01,@Norfolk St,34,Virginia St,13,
2018-09-01,@ETSU,28,Mars Hill,7,
2018-09-01,@Florida A&M,41,Fort Valley St,7,
2018-09-01,@Illinois St,46,St Xavier IL,0,
2018-09-01,@Lamar,70,Kentucky Chr,7,
2018-09-01,@CS Sacramento,55,St Francis IL,7,
2018-09-01,@Stetson,48,Point,7,
2018-09-01,@W Carolina,33,Newberry,26,
2018-09-02,NC A&T,28,@East Carolina,23,
2018-09-02,Prairie View,40,NC Central,24,Atlanta GA
2018-09-06,Kennesaw,49,@Tennessee Tech,10,
2018-09-06,@Missouri St,52,Lincoln MO,24,
2018-09-07,@Central Conn,55,Lincoln PA,0,
2018-09-08,@Auburn,63,Alabama St,9,
2018-09-08,@Tennessee,59,ETSU,3,
2018-09-08,@Troy,59,Florida A&M,7,
2018-09-08,@Boston College,62,Holy Cross,14,
2018-09-08,@Kent,54,Howard,14,
2018-09-08,@North Texas,58,Incarnate Word,16,
2018-09-08,@Louisville,31,Indiana St,7,
2018-09-08,@Texas Tech,77,Lamar,0,
2018-09-08,Maine,31,@WKU,28,
2018-09-08,@Akron,41,Morgan St,7,
2018-09-08,@Tulane,42,Nicholls St,17,
2018-09-08,@Washington,45,North Dakota,3,
2018-09-08,@Oregon,62,Portland St,14,
2018-09-08,@San Diego St,28,CS Sacramento,14,
2018-09-08,@Florida St,36,Samford,26,
2018-09-08,@Miami FL,77,Savannah St,0,
2018-09-08,@UCF,38,S Carolina St,0,
2018-09-08,@LSU,31,SE Louisiana,0,
2018-09-08,@Louisiana Tech,54,Southern Univ,17,
2018-09-08,@Mississippi,76,S Illinois,41,
2018-09-08,@Oregon St,48,Southern Utah,25,
2018-09-08,@Texas St,36,TX Southern,20,
2018-09-08,@Wake Forest,51,Towson,20,
2018-09-08,@MTSU,61,TN Martin,37,
2018-09-08,@Syracuse,62,Wagner,10,
2018-09-08,@Illinois,34,W Illinois,14,
2018-09-08,@Virginia Tech,62,William & Mary,17,
2018-09-08,@West Virginia,52,Youngstown St,17,
2018-09-08,@Marshall,32,E Kentucky,16,
2018-09-08,@Abilene Chr,41,Angelo St,24,
2018-09-08,North Alabama,25,@Alabama A&M,20,
2018-09-08,@Rhode Island,45,Albany NY,26,
2018-09-08,@Alcorn St,78,Louisiana Col,0,
2018-09-08,@Austin Peay,24,Presbyterian,0,
2018-09-08,Sacred Heart,30,@Bucknell,14,
2018-09-08,Weber St,24,@Cal Poly,17,
2018-09-08,Chattanooga,29,@Citadel,28,
2018-09-08,@Davidson,49,Chowan,28,
2018-09-08,Colgate,10,@New Hampshire,3,
2018-09-08,@SE Missouri St,40,Dayton,21,
2018-09-08,@St Francis PA,45,Delaware St,14,
2018-09-08,@Montana,48,Drake,16,
2018-09-08,@Illinois St,48,E Illinois,10,
2018-09-08,@Elon,45,Furman,7,
2018-09-08,E Washington,31,@Northern Arizona,26,
2018-09-08,@Richmond,52,Fordham,7,
2018-09-08,@Northwestern LA,34,Grambling,7,
2018-09-08,McNeese St,51,@Houston Bap,34,
2018-09-08,@Idaho,56,W New Mexico,10,
2018-09-08,@Mercer,45,Jacksonville,3,
2018-09-08,James Madison,17,@Norfolk St,0,
2018-09-08,Villanova,31,@Lehigh,9,
2018-09-08,@S Dakota St,45,Montana St,14,
2018-09-08,@Morehead St,48,Mt St Joseph,19,
2018-09-08,@NC Central,51,St Augustine's,14,
2018-09-08,@South Dakota,43,N Colorado,28,
2018-09-08,@Sam Houston St,41,Prairie View,32,
2018-09-08,@UC Davis,54,San Diego,21,
2018-09-08,@Stetson,63,Waldorf,34,
2018-09-08,Butler,31,@Taylor IN,17,
2018-09-08,Campbell,13,@Georgetown,8,
2018-09-08,@Robert Morris,22,Virginia St,19,
2018-09-08,@NC A&T,45,Gardner Webb,6,
2018-09-08,@Wofford,59,VMI,14,
2018-09-08,@Cent Arkansas,26,Murray St,13,
2018-09-08,@Monmouth NJ,56,Hampton,28,
2018-09-08,@Delaware,37,Lafayette,0,
2018-09-08,@Duquesne,23,Valparaiso,21,
2018-09-08,@Jacksonville St,71,MS Valley St,0,
2018-09-08,@Stony Brook,50,Bryant,21,
2018-09-08,@Ark Pine Bluff,55,Cumberland TN,0,
2018-09-08,@Bethune-Cookman,79,VA-Lynchburg,16,
2018-09-12,Coastal Car,58,@Campbell,21,
2018-09-13,@Utah St,73,Tennessee Tech,12,
2018-09-13,@Davidson,91,Guilford,61,
2018-09-13,Richmond,35,@St Francis PA,27,
2018-09-13,@James Madison,73,Robert Morris,7,
2018-09-14,@Cal Poly,44,Brown,15,
2018-09-14,W Carolina,28,@Gardner Webb,10,
2018-09-14,ETSU,27,@VMI,24,
2018-09-15,@Cincinnati,63,Alabama A&M,7,
2018-09-15,@FL Atlantic,49,Bethune-Cookman,28,
2018-09-15,@W Michigan,68,Delaware St,0,
2018-09-15,@Washington St,59,E Washington,24,
2018-09-15,@California,45,Idaho St,23,
2018-09-15,@Navy,51,Lehigh,21,
2018-09-15,@Kentucky,48,Murray St,10,
2018-09-15,@Colorado,45,New Hampshire,14,
2018-09-15,@Iowa,38,Northern Iowa,14,
2018-09-15,@Connecticut,56,Rhode Island,49,
2018-09-15,@Arizona,62,Southern Utah,31,
2018-09-15,@Stanford,30,UC Davis,10,
2018-09-15,@Wyoming,17,Wofford,14,
2018-09-15,@Bowling Green,42,E Kentucky,35,
2018-09-15,@Kennesaw,62,Alabama St,13,
2018-09-15,@Albany NY,30,Morgan St,27,
2018-09-15,Austin Peay,78,@Morehead St,40,
2018-09-15,@Bryant,37,Marist,27,
2018-09-15,Princeton,50,@Butler,7,
2018-09-15,Columbia,41,@Central Conn,24,
2018-09-15,@Portland St,63,Col of Idaho,14,
2018-09-15,CS Sacramento,28,@N Colorado,25,
2018-09-15,@Duquesne,31,Dayton,26,
2018-09-15,@Drake,52,Missouri S&T,12,
2018-09-15,Indiana St,55,@E Illinois,41,
2018-09-15,@Harvard,36,San Diego,14,
2018-09-15,@Holy Cross,31,Yale,28,
2018-09-15,Monmouth NJ,24,@Lafayette,20,
2018-09-15,Northwestern LA,49,@Lamar,48,
2018-09-15,@McNeese St,20,Nicholls St,10,
2018-09-15,Mercer,30,@Samford,24,
2018-09-15,@W Illinois,31,Montana,27,
2018-09-15,@N Dakota St,38,North Alabama,7,
2018-09-15,North Dakota,24,@Sam Houston St,23,
2018-09-15,@UNLV,46,Prairie View,17,
2018-09-15,SE Missouri St,48,@S Illinois,44,
2018-09-15,@Weber St,27,South Dakota,10,
2018-09-15,Towson,45,@Villanova,35,
2018-09-15,@S Dakota St,90,Ark Pine Bluff,6,
2018-09-15,@Penn,34,Bucknell,17,
2018-09-15,@Dartmouth,41,Georgetown,0,
2018-09-15,@Missouri St,40,Northern Arizona,8,
2018-09-15,Cent Arkansas,33,@SE Louisiana,25,
2018-09-15,@Alcorn St,27,TX Southern,15,
2018-09-15,@Delaware,27,Cornell,10,
2018-09-15,Stony Brook,28,@Fordham,6,
2018-09-15,Abilene Chr,38,@Houston Bap,13,
2018-09-15,@Incarnate Word,31,SF Austin,7,
2018-09-15,@Montana St,47,Wagner,24,
2018-09-15,Chattanooga,34,@TN Martin,24,
2018-09-15,@Youngstown St,42,Valparaiso,7,
2018-09-15,Jackson St,18,@Florida A&M,16,
2018-09-15,@Southern Univ,33,Langston,18,
2018-09-21,Harvard,31,@Brown,17,
2018-09-22,@SF Austin,24,Abilene Chr,21,
2018-09-22,@Grambling,34,Alabama St,0,
2018-09-22,@Albany NY,35,St Francis PA,28,
2018-09-22,@Appalachian St,72,Gardner Webb,7,
2018-09-22,@North Alabama,37,Azusa Pacific,35,
2018-09-22,@Presbyterian,41,Bluefield VA,10,
2018-09-22,@Villanova,49,Bucknell,7,
2018-09-22,@E Washington,70,Cal Poly,17,
2018-09-22,@Campbell,42,Shaw NC,0,
2018-09-22,Central Conn,24,@Fordham,13,
2018-09-22,Elon,31,@Charleston So,22,
2018-09-22,@Chattanooga,27,Samford,20,
2018-09-22,Citadel,38,@Mercer,31,
2018-09-22,@Kennesaw,70,Clark Atlanta,13,
2018-09-22,@C Michigan,17,Maine,5,
2018-09-22,Illinois St,35,@Colorado St,19,
2018-09-22,Yale,30,@Cornell,24,
2018-09-22,@Montana,41,CS Sacramento,34,
2018-09-22,@Dayton,42,Davidson,21,
2018-09-22,@Duke,55,NC Central,13,
2018-09-22,@Hawaii,42,Duquesne,21,
2018-09-22,@E Kentucky,23,SE Missouri St,14,
2018-09-22,@Florida A&M,31,Savannah St,13,
2018-09-22,@UC Davis,44,Idaho,21,
2018-09-22,@James Madison,51,William & Mary,0,
2018-09-22,SE Louisiana,30,@Lamar,24,
2018-09-22,@Stetson,19,Marist,14,
2018-09-22,@Princeton,51,Monmouth NJ,9,
2018-09-22,Montana St,43,@Portland St,23,
2018-09-22,@Weber St,45,N Colorado,28,
2018-09-22,@Nicholls St,27,Sam Houston St,7,
2018-09-22,Norfolk St,17,@S Carolina St,7,
2018-09-22,Sacred Heart,41,@Wagner,14,
2018-09-22,@BYU,30,McNeese St,3,
2018-09-22,@Houston,70,TX Southern,14,
2018-09-22,Prairie View,62,@Ark Pine Bluff,13,
2018-09-22,Howard,41,Bethune-Cookman,35,Indianapolis IN
2018-09-22,@Bryant,49,Robert Morris,46,
2018-09-22,Columbia,23,@Georgetown,15,
2018-09-22,Dartmouth,34,@Holy Cross,14,
2018-09-22,@Penn,30,Lehigh,10,
2018-09-22,Morgan St,16,@NC A&T,13,
2018-09-22,@Northern Iowa,44,Hampton,0,
2018-09-22,Alcorn St,56,@MS Valley St,20,
2018-09-22,Southern Univ,29,Alabama A&M,27,Mobile, AL
2018-09-22,@Colgate,45,Lafayette,0,
2018-09-22,@ETSU,29,Furman,27,
2018-09-22,Tennessee St,41,@E Illinois,40,
2018-09-22,@Jacksonville St,48,Tennessee Tech,20,
