opponent,result,win,loss,margin,location,opponent rating
Chicago,1,6,2,1,HOME,0.674791072812179
Buffalo,1,3,6,22,HOME,0.120780722347961
San Francisco,1,2,6,3,HOME,0.181088171646461
Miami,1,5,4,19,HOME,0.304859597322684
Minnesota,0,5,3,0,HOME,0.429860053172994
Washington,0,5,3,14,AWAY,0.555430586019001
Detroit,0,2,6,8,AWAY,0.0706385548987229
LA Rams,0,8,1,2,AWAY,0.742975403004932
New England,0,6,3,14,AWAY,0.505343633475796
